company_id,mon_open,tue_open,wed_open,thu_open,fri_open,sat_open,sun_open,mon_close,tue_close,wed_close,thu_close,fri_close,sat_close,sun_close
29,6:00,6:00,6:00,6:00,6:00,10:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,21:00,21:00
30,,,,,,,,,,,,,,
31,6:00,6:00,6:00,6:00,6:00,10:00,10:00,货寒 01:00,货寒 01:00,货寒 01:00,货寒 01:00,货寒 01:00,21:00,21:00
32,6:00,6:00,6:00,6:00,6:00,10:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,19:00,19:00
33,9:00,9:00,9:00,9:00,9:00,9:00,,23:00,23:00,23:00,23:00,23:00,18:00,
34,,,,,,,,,,,,,,
35,6:00,6:00,6:00,6:00,6:00,10:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,18:00,18:00
36,6:00,6:00,6:00,6:00,6:00,9:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,20:00,20:00
37,6:00,6:00,6:00,6:00,6:00,10:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,21:00,
38,6:00,6:00,6:00,6:00,6:00,10:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,21:00,
39,11:00,11:00,11:00,11:00,11:00,11:00,,23:00,23:00,23:00,23:00,23:00,17:00,
40,9:00,9:00,9:00,9:00,9:00,9:00,,23:00,23:00,23:00,23:00,23:00,18:00,
41,0:00,0:00,0:00,0:00,0:00,,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,,
42,8:00,8:00,8:00,8:00,8:00,9:00,,23:00,23:00,23:00,23:00,23:00,17:00,
43,6:00,6:00,6:00,6:00,6:00,9:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,17:00,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,9:00,9:00,9:00,9:00,9:00,9:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,19:00,
47,7:00,7:00,7:00,7:00,7:00,9:00,9:00,23:00,23:00,23:00,23:00,23:00,18:00,18:00
48,6:00,6:00,6:00,6:00,6:00,10:00,10:00,23:00,23:00,23:00,23:00,23:00,18:00,18:00
49,6:00,6:00,6:00,6:00,6:00,10:00,,23:00,23:00,23:00,23:00,23:00,17:00,
50,6:00,6:00,6:00,6:00,6:00,10:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,19:00,19:00
51,8:00,8:00,8:00,8:00,8:00,,,23:00,23:00,23:00,23:00,23:00,,
52,6:00,6:00,6:00,6:00,6:00,10:00,12:00,23:00,23:00,23:00,23:00,23:00,20:00,20:00
53,10:00,10:00,10:00,10:00,10:00,10:00,,23:30,23:30,23:30,23:30,23:30,17:00,
54,,,,,,,,,,,,,,
55,9:30,9:30,9:30,9:30,9:30,10:00,,21:00,21:00,21:00,21:00,21:00,13:00,
56,8:00,8:00,8:00,8:00,8:00,9:00,0:00,23:00,23:00,23:00,23:00,23:00,17:00,24:00:00
57,6:00,6:00,6:00,6:00,6:00,8:00,10:00,23:00,23:00,23:00,23:00,23:00,18:00,17:00
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,7:00,7:00,7:00,7:00,7:00,10:00,,23:00,23:00,23:00,23:00,23:00,18:00,
62,9:00,9:00,9:00,9:00,9:00,10:00,,23:00,23:00,23:00,23:00,23:00,18:00,
63,6:30,6:30,6:30,6:30,6:30,,,23:00,23:00,23:00,23:00,23:00,,
64,,,,,,,6:00,,,,,,,23:00
65,9:00,9:00,9:00,9:00,9:00,10:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,16:00,
66,,,,,,,,,,,,,,
67,8:00,8:00,8:00,8:00,8:00,10:00,10:00,23:00,23:00,23:00,23:00,23:00,18:00,18:00
68,,,,,,,,,,,,,,
69,9:00,9:00,9:00,9:00,9:00,9:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,19:00,
70,7:00,7:00,7:00,7:00,7:00,10:00,,23:00,23:00,23:00,23:00,23:00,18:00,
71,0:00,0:00,0:00,0:00,0:00,0:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,23:00,18:00
72,6:00,6:00,6:00,6:00,6:00,10:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,18:00,
73,6:00,6:00,6:00,6:00,6:00,9:00,,23:50,23:50,23:50,23:50,23:50,21:00,
74,7:00,7:00,7:00,7:00,7:00,10:00,,23:00,23:00,23:00,23:00,23:00,18:00,
75,0:00,0:00,0:00,0:00,0:00,0:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,23:00,18:00
76,9:00,9:00,9:00,9:00,9:00,9:00,,23:00,23:00,23:00,23:00,23:00,15:00,
77,6:30,6:30,6:30,6:30,6:30,10:00,10:00,22:00,22:00,22:00,22:00,22:00,14:00,14:00
78,6:00,6:00,6:00,6:00,6:00,6:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,16:00,
79,10:00,10:00,10:00,10:00,10:00,10:00,,23:00,23:00,23:00,23:00,23:00,23:00,
80,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
81,0:00,0:00,0:00,0:00,0:00,,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,,
82,7:00,7:00,7:00,7:00,7:00,10:00,,23:00,23:00,23:00,23:00,23:00,18:00,
83,9:00,9:00,9:00,9:00,9:00,,,22:00,22:00,22:00,22:00,22:00,,
84,8:00,8:00,8:00,8:00,8:00,10:00,,23:00,23:00,23:00,23:00,23:00,16:00,
85,7:00,7:00,7:00,7:00,7:00,12:00,,23:00,23:00,23:00,23:00,23:00,17:00,
86,8:00,8:00,8:00,8:00,8:00,9:00,,23:00,23:00,23:00,23:00,23:00,17:00,
87,,,,,,,,,,,,,,
88,9:00,9:00,9:00,9:00,9:00,10:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,16:00,
89,9:00,9:00,9:00,9:00,9:00,11:00,,23:00,23:00,23:00,23:00,23:00,18:00,
90,,,,,,,10:00,,,,,,,23:00
91,,,,,,,,,,,,,,
92,6:00,6:00,6:00,6:00,6:00,6:00,,21:00,21:00,21:00,21:00,21:00,21:00,
93,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
94,10:00,10:00,10:00,10:00,10:00,11:00,,22:00,22:00,22:00,22:00,22:00,18:00,
95,6:30,6:30,6:30,6:30,6:30,10:00,10:00,22:00,22:00,22:00,22:00,22:00,14:00,14:00
96,6:00,6:00,6:00,6:00,6:00,10:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,19:00,18:00
97,6:00,6:00,6:00,6:00,6:00,10:00,10:00,23:00,23:00,23:00,23:00,23:00,20:00,20:00
98,,,,,,,10:00,,,,,,,22:00
99,,,,,,,,,,,,,,
100,7:00,7:00,7:00,7:00,7:00,,,23:00,23:00,23:00,23:00,23:00,,
101,6:00,6:00,6:00,6:00,6:00,10:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,20:00,20:00
102,9:00,9:00,9:00,9:00,9:00,9:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,19:00,
