id,name,address,phoneNumber,lat,lng,img,grade
26,건국AMC The Classic 500,"서울특별시 광진구 능동로 90, 4층 (자양동, 더클래식500)",2218-5530,37.53878862,127.0682467,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_257%2F1441049734563Q2ub1_JPEG%2FSUBMIT_1286349759028_13523156.jpg,
27,나다헬스,"서울특별시 광진구 능동로4길 17, 3층 (자양동, 원우상가)",4587704,37.53342339,127.0659144,,
28,웰플러스,"서울특별시 광진구 자양로5길 33 (자양동, 와이엠프라젠스파)",446-2700,37.53090625,127.0812634,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200715_93%2F1594803643518Y739q_JPEG%2FhPIftvPtzjQNPLLSplU_Ss5-.JPG.jpg,
29,코엑스짐 중곡점,"서울특별시 광진구 용마산로 44, 5층 (중곡동, 삼경빌딩)",444-7554,37.5576491,127.0853702,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210421_283%2F16190050822670lPAp_JPEG%2F800%25B4%25EB800_%25C4%25DA%25BF%25A2%25BD%25BA%25C1%25FC_%25BA%25F1%25C0%25B2_%25B7%25CE%25B0%25ED.jpg,
30,초콜릿 휘트니스,"서울특별시 광진구 능동로 373, 3층 (중곡동)",453-1546,37.56272521,127.079378,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160622_283%2F1466551185050GWKsh_JPEG%2F176572484964854_0.jpeg,
31,바디퍼포먼스 짐,"서울특별시 광진구 천호대로 548, 지하1층 (군자동)",465-9679,37.55688796,127.0759511,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170602_128%2F1496399051777cb3RV_PNG%2F186552595430981_0.png,
32,아크로짐 구의점,"서울특별시 광진구 광나루로 604, 지하1층 (구의동, 진넥스 베르디엠)",02-3437-9981,37.54157315,127.0920199,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220705_103%2F1657006061861lAE3a_JPEG%2F8%25BD%25BA%25C5%25D7%25C0%25CC%25BC%25C7.jpg,
33,제이 퍼스널 트레이닝 스튜디오,"서울특별시 광진구 아차산로 477, 지하1층 (구의동)",,37.54073238,127.0917918,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_287%2F1441058127266gQczT_JPEG%2FSUBMIT_1382352442651_33400278.jpg,
34,크로스핏 라온,"서울특별시 광진구 아차산로 294 (자양동, 지하1층)",,37.53821379,127.0726566,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191004_191%2F1570156290763AudXu_PNG%2FGm9eJyYne4LFIzhMS_kgi-K4.png,
35,골프베이휘트니스,"서울특별시 광진구 자양로 109 (자양동, 구의현대홈시티 지하 101호)",02-455-5006,37.5374251,127.080179,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220329_191%2F1648544200498jRlrp_JPEG%2FKakaoTalk_20220322_140237489_02.jpg,
