,company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care,teacher,view,shower,excessive
41,1614859791,19,22,20,14,22,1,9,3,1,3,0,0,0,0,0
42,1329429055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1435552555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1102389103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1305325861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1975088571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1097785725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1452177609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1400389920,156,151,144,122,87,59,95,8,52,33,0,0,0,0,0
50,1042707383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1160853922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1096094842,33,29,16,12,28,3,6,0,6,12,0,0,0,0,0
53,32424100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1740587644,15,14,3,1,0,14,10,0,14,0,3,0,0,0,0
55,1964150912,128,94,109,30,30,117,83,10,97,9,0,0,0,0,0
56,1028637040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1146239356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1424393208,149,125,106,67,85,19,58,3,19,11,0,0,0,0,0
59,1186665953,27,29,4,0,0,16,24,0,18,0,25,0,6,3,2
60,35263279,94,87,66,51,22,45,65,10,37,0,8,0,0,0,0
61,1317587781,37,46,28,6,13,20,24,6,16,3,0,0,0,0,0
62,1323084775,15,16,9,3,10,9,6,4,5,3,0,0,0,0,0
63,1877534839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1075862761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1318520369,91,96,47,10,16,110,45,23,97,0,88,0,0,0,0
66,1540025450,16,14,11,3,1,14,3,0,8,0,8,0,0,0,0
67,34480326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1141441284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1646071896,72,69,37,14,18,58,49,4,59,3,0,0,0,0,0
70,1249001855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1472992434,17,20,8,1,4,23,14,0,22,1,0,0,0,0,0
72,1164594373,11,12,7,2,9,8,5,0,2,1,0,0,0,0,0
73,1316396572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1073977077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,38696246,13,23,7,4,4,18,7,3,14,0,20,0,0,0,0
76,1800616356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
