company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
54,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,,
55,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,,
56,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,12:00,17:00,,
57,,,,,,,,,,,,,,
58,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,,
59,08:00,24:00,08:00,24:00,08:00,24:00,08:00,24:00,08:00,24:00,10:00,20:00,10:00,20:00
60,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,15:00,09:00,15:00
61,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,19:00,,
62,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,18:00,10:00,18:00
63,,,,,,,,,,,,,,
64,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,21:00,09:00,21:00
65,06:30,23:30,06:30,23:30,06:30,23:30,06:30,23:30,06:30,23:30,,,,
66,,,,,,,,,,,,,06:00,23:59
67,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,,,,
68,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,08:00,20:00,10:00,18:00
69,,,,,,,,,,,,,,
70,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,10:00,17:00,,
71,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,11:00,16:00,11:00,16:00
72,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,09:00,17:00,,
73,,,,,,,,,,,,,00:00,24:00
74,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,10:00,18:00,,
75,,,,,,,,,,,,,,
76,06:00,23:59,06:00,23:59,06:00,23:59,06:00,23:59,06:00,23:59,10:00,18:00,,
77,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,06:30,14:30,,
78,,,,,,,,,,,,,,
79,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,10:00,19:00
80,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,10:00,18:00,,
81,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,20:00,10:00,20:00
82,,,,,,,,,,,,,00:00,24:00
83,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,10:00,18:00,10:00,18:00
84,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,09:00,18:00
